file,line,kind,arg,cat
"Assets/DragonBound/Editor/AuthoredGreyboxUiMigration.cs",69,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Screens/DragonBoundPortraitScreen.prefab","编辑器工具"
"Assets/DragonBound/Editor/DragonBoundHeroSliceSceneBuilder.cs",18,"LoadAssetAtPath(常量)","Assets/Scenes/Greybox_Main.unity","编辑器工具"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",61,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Screens/DragonBoundPortraitScreen.prefab","编辑器工具"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",74,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Screens/DragonBoundPortraitScreen.prefab","编辑器工具"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",648,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Components/EnemyCard.prefab","编辑器工具"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",898,"LoadAssetAtPath(变量)","scenePath","编辑器工具"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",920,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Components/UnitCard.prefab","编辑器工具"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",1101,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Art/Range/RangeOutlineThin.png","编辑器工具"
"Assets/DragonBound/Editor/HandoffUiAssetBuilder.cs",29,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Handoff/Prefabs/UI_HandoffScreen.prefab","编辑器工具"
"Assets/DragonBound/Editor/HandoffUiAssetBuilder.cs",30,"LoadAssetAtPath(常量)","Assets/DragonBound/Scenes/UI_Handoff.unity","编辑器工具"
"Assets/DragonBound/Editor/HandoffUiAssetBuilder.cs",53,"LoadAssetAtPath(常量)","Assets/TextMesh Pro/Resources/TMP Settings.asset","编辑器工具"
"Assets/DragonBound/Editor/HandoffUiAssetBuilder.cs",71,"LoadAssetAtPath(常量)","Assets/TextMesh Pro/Resources/TMP Settings.asset","编辑器工具"
"Assets/DragonBound/Editor/HandoffUiAssetBuilder.cs",85,"LoadAssetAtPath(常量)","Assets/TextMesh Pro/Resources/TMP Settings.asset","编辑器工具"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",18,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Screens/DragonBoundPortraitScreen.prefab","测试"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",37,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Screens/DragonBoundPortraitScreen.prefab","测试"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",64,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Screens/DragonBoundPortraitScreen.prefab","测试"
"Assets/DragonBound/Tests/EditMode/HandoffUiEditModeTests.cs",18,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Handoff/Prefabs/HandoffMerchantOffer.prefab","测试"
"Assets/DragonBound/Tests/EditMode/HandoffUiEditModeTests.cs",19,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Handoff/Prefabs/UI_HandoffScreen.prefab","测试"
"Assets/DragonBound/Tests/EditMode/HandoffUiEditModeTests.cs",39,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Handoff/Prefabs/UI_HandoffScreen.prefab","测试"
"Assets/DragonBound/Tests/EditMode/HandoffUiEditModeTests.cs",57,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Handoff/Prefabs/UI_HandoffScreen.prefab","测试"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",126,"LoadAssetAtPath(变量)","path","测试"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",138,"LoadAssetAtPath(常量)","Assets/DragonBound/UI/Prefabs/Components/UnitCard.prefab","测试"
