file,line,kind,arg,cat
"Assets/DragonBound/Runtime/Presentation/CampPanelView.cs",486,"Sprite","resourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",781,"Animator","RuneboltMageBoltControllerPath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",1098,"Sprite","StoneboundWarlockSkillRockSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",1103,"Sprite","StoneboundWarlockNormalRockSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",1347,"Sprite","ThunderlordMainChainSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",1351,"Sprite","ThunderlordFirstChainSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",1355,"Sprite","ThunderlordSecondChainSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2510,"Sprite","AbyssalHarpoonChainSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2511,"Sprite","AbyssalHarpoonHookSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2512,"Sprite","AbyssalHarpoonPortalSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2519,"Sprite","AbyssalHarpoonChainSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2520,"Sprite","AbyssalHarpoonHookSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2521,"Sprite","AbyssalHarpoonPortalSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2528,"Sprite","AbyssalHarpoonChainSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2529,"Sprite","AbyssalHarpoonHookSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2530,"Sprite","AbyssalHarpoonPortalSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",2624,"Sprite","EmberShamanFireballSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",3091,"Sprite","BowSwordProjectileSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",3107,"Sprite","WindclawImpactSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",3371,"Sprite","SkyborneValkyrieArrowSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",3743,"Sprite","FlameDrakeSkillFireballSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",3755,"Sprite","FlameDrakeNormalFireballSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",3771,"Animator","FlameDrakeSkillExplosionControllerPath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",3783,"Animator","FlameDrakeNormalExplosionControllerPath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",3797,"Animator","FlameDrakeBurningGroundControllerPath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",4044,"Animator","NightfangExplosionControllerPath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",4329,"Animator","StarfallExplosionControllerPath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",4459,"Sprite","StarfallNormalSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/CombatFxView.cs",4583,"Animator","""Animation/Flame Drake Rider S""","运行时"
"Assets/DragonBound/Runtime/Presentation/DragArrowPreviewView.cs",84,"Sprite","DragPathSpriteResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/DraggableUnitView.cs",976,"Animator","resourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",195,"Sprite","FrostcrownMarkSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",254,"Sprite","FrostMireMarkSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",313,"Sprite","WinterveilMarkSpritePath","运行时"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",463,"Sprite","BossHpResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",712,"Animator","DeathControllerResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",868,"Animator","StormShieldControllerResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",869,"Sprite","StormShieldFirstFrameResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/EnemyView.cs",1160,"Animator","""Animation/"" + controllerName","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",1404,"GameObject","InformPrefabResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2116,"GameObject","""prefabs/BeachItem""","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2182,"Sprite","ShovelSpriteResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2447,"GameObject","BoardSelectPrefabResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2463,"Sprite","BeachSelectSpriteResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxBoardView.cs",2468,"Sprite","BoardSelectSpriteResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",594,"Sprite","resourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",1436,"Animator","ArcaneThunderburstControllerPath","运行时"
"Assets/DragonBound/Runtime/Presentation/GreyboxHudView.cs",1760,"Sprite","definition.IconKey","运行时"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",290,"Sprite","""GameUI/Lock""","运行时"
"Assets/DragonBound/Runtime/Presentation/GridCellView.cs",300,"Sprite","""GameUI/UnLock""","运行时"
"Assets/DragonBound/Runtime/Presentation/HeroFormationView.cs",774,"Animator","LevelUpControllerResourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/HeroFormationView.cs",817,"Animator","controllerPath","运行时"
"Assets/DragonBound/Runtime/Presentation/HeroFormationView.cs",1229,"Sprite","""GameUI/HeroPurple""","运行时"
"Assets/DragonBound/Runtime/Presentation/HeroFormationView.cs",1230,"Sprite","""GameUI/HeroGold""","运行时"
"Assets/DragonBound/Runtime/Presentation/HeroFormationView.cs",1387,"Sprite","resourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/HeroFormationView.cs",1467,"Animator","resourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/HeroFormationView.cs",1510,"Animator","resourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/PauseRuneRewardPresenter.cs",160,"GameObject","NoRewardPrefabPath","运行时"
"Assets/DragonBound/Runtime/Presentation/PauseRuneRewardPresenter.cs",166,"GameObject","FallbackRewardPrefabPath","运行时"
"Assets/DragonBound/Runtime/Presentation/ResourcesCampComponentArtProvider.cs",135,"Sprite","resourcePath","运行时"
"Assets/DragonBound/Runtime/Presentation/TipTextService.cs",44,"GameObject","PrefabPath","运行时"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",233,"Sprite","""VFX/Unit/road""","测试"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",234,"Animator","""Animation/UnitAni/BOW""","测试"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",435,"Sprite","""VFX/Windclaw Ranger/road""","测试"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",449,"Sprite","""VFX/Ember Shaman/road""","测试"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",482,"Sprite","""VFX/Stonebound Warlock/rood""","测试"
