file,line,kind,arg,cat,expr
"Assets/DragonBound/Editor/AuthoredGreyboxUiMigration.cs",207,"Transform.Find","RangeDismissSurface","编辑器工具","var existing = parent.Find(""RangeDismissSurface"");"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",113,"Transform.Find","ART_StarfallWarning","编辑器工具","var warningTransform = root.transform.Find(""ART_StarfallWarning"");"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",587,"Transform.Find","ART_LockOverlay","编辑器工具","var lockOverlay = view.transform.Find(""ART_LockOverlay"");"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",600,"Transform.Find","ART_Background","编辑器工具","var background = instance.transform.Find(""ART_Background"").GetComponent<Image>();"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",610,"Transform.Find","RouteWaypoints","编辑器工具","var points = instance.transform.Find(""RouteWaypoints"").GetComponentsInChildren<RectTransform>(true);"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",646,"Transform.Find","ART_EnemyMarker","编辑器工具","var marker = instance.transform.Find(""ART_EnemyMarker"").GetComponent<RectTransform>();"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",656,"Transform.Find","SideLabel","编辑器工具","var sideLabel = instance.transform.Find(""SideLabel"").GetComponent<Text>();"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",663,"Transform.Find","HatchlingLabel","编辑器工具","instance.transform.Find(""HatchlingLabel"").GetComponent<Text>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",664,"Transform.Find","EnemyProgressLabel","编辑器工具","instance.transform.Find(""EnemyProgressLabel"").GetComponent<Text>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",665,"Transform.Find","ART_BossTrack/ART_BossFill","编辑器工具","instance.transform.Find(""ART_BossTrack/ART_BossFill"").GetComponent<Image>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",705,"Transform.Find","ART_LockOverlay","编辑器工具","var lockOverlay = instance.transform.Find(""ART_LockOverlay"");"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",797,"Transform.Find","ART_DragArrow","编辑器工具","var aiDragArrow = aiBattlefieldObject.transform.Find(""ART_DragArrow"").GetComponent<DragArrowPreviewView>();"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",798,"Transform.Find","ART_DragArrow","编辑器工具","var playerDragArrow = playerBattlefieldObject.transform.Find(""ART_DragArrow"").GetComponent<DragArrowPreviewView>();"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",804,"Transform.Find","ART_PauseButton","编辑器工具","hudObject.transform.Find(""ART_PauseButton"").GetComponent<Button>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",805,"Transform.Find","ART_PauseButton/PauseLabel","编辑器工具","hudObject.transform.Find(""ART_PauseButton/PauseLabel"").GetComponent<Text>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",806,"Transform.Find","ResourceLabel","编辑器工具","hudObject.transform.Find(""ResourceLabel"").GetComponent<Text>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",807,"Transform.Find","WaveLabel","编辑器工具","hudObject.transform.Find(""WaveLabel"").GetComponent<Text>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",808,"Transform.Find","DebugLabel","编辑器工具","hudObject.transform.Find(""DebugLabel"").GetComponent<Text>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",809,"Transform.Find","EnemyDebugLabel","编辑器工具","hudObject.transform.Find(""EnemyDebugLabel"").GetComponent<Text>());"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",862,"Transform.Find","AiUnitLayer","编辑器工具","screenObject.transform.Find(""AiUnitLayer"").GetComponent<RectTransform>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",864,"Transform.Find","AiUnitLayer/ART_AiRangePreview","编辑器工具","screenObject.transform.Find(""AiUnitLayer/ART_AiRangePreview"").GetComponent<Image>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",866,"Transform.Find","ART_DragArrow","编辑器工具","screenView.AiBattlefieldView.transform.Find(""ART_DragArrow"").GetComponent<DragArrowPreviewView>());"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",870,"Transform.Find","PlayerUnitLayer","编辑器工具","screenObject.transform.Find(""PlayerUnitLayer"").GetComponent<RectTransform>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",872,"Transform.Find","PlayerUnitLayer/ART_PlayerRangePreview","编辑器工具","screenObject.transform.Find(""PlayerUnitLayer/ART_PlayerRangePreview"").GetComponent<Image>(),"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",874,"Transform.Find","ART_DragArrow","编辑器工具","screenView.PlayerBattlefieldView.transform.Find(""ART_DragArrow"").GetComponent<DragArrowPreviewView>());"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",976,"Transform.Find","ART_DragArrow","编辑器工具","var existing = battlefield.Find(""ART_DragArrow"");"
"Assets/DragonBound/Editor/DragonBoundPortraitUiBuilder.cs",1163,"Transform.Find","ART_RangeOutline","编辑器工具","var outlineTransform = target.Find(""ART_RangeOutline"");"
"Assets/DragonBound/Runtime/Presentation/BoardDebugOverlay.cs",69,"Transform.Find","DEV_BoardDebugOverlay","运行时","var existing = parent.Find(""DEV_BoardDebugOverlay"");"
"Assets/DragonBound/Runtime/Presentation/CampPanelView.cs",262,"Transform.Find","Img","运行时","image = slot.Find(""Img"")?.GetComponent<Image>();"
